Lexem,Genus,Worttrennung,IPA,Wortart,Nomen
Etagere,fmf,Eta·ge·re,:{{IPA|AT {{Lautschrift|etaˈʒeːɐ̯}},Substantiv,TRUE
,mmf,ar·gen·ti·ni·scher Pe·so,,Substantiv,TRUE
,fmf,me·xi·ka·ni·scher Pe·so,,Substantiv,TRUE
,fmf,chi·le·ni·scher Pe·so,,Substantiv,TRUE
,fmf,uru·gu·a·yi·scher Pe·so,,Substantiv,TRUE
,fmf,ko·lum·bi·a·ni·scher Pe·so,,Substantiv,TRUE
,fmf,ku·ba·ni·scher Pe·so,,Substantiv,TRUE
,fmf,Pe·so con·ver·ti·ble,,Substantiv,TRUE
,fmf,do·mi·ni·ka·ni·scher Pe·so,,Substantiv,TRUE
,fff,Si·zi·li·a·ni·sches Flü·gel·gam·bit,,Substantiv,TRUE
,fnf,fett·ar·me Milch,ˈfɛtˌʔaːɐ̯mə mɪlç,Substantiv,TRUE
Penne,fnf,Pen·ne,ˈpɛnə,Substantiv,TRUE
Penne,0nf,Pen·ne,ˈpɛnə,Substantiv,TRUE
Penne,0nf,{{kSg.}},ˈpɛnə,Substantiv,TRUE
,nnf,2-Bu·ta·non,,Substantiv,TRUE
,nnf,2-Me·thyl-2-pro·pa·nol,,Substantiv,TRUE
,nnf,1-Pen·ta·nol,,Substantiv,TRUE
,nnf,2-Me·thyl-1-pro·pa·nol,,Substantiv,TRUE
,nnf,2-Pro·pa·nol,ˌt͡svaɪ̯pʁopaˈnoːl,Substantiv,TRUE
Schema,nff,Sche·ma,:{{IPA [a] {{Lautschrift|ˈʃeːma}},Substantiv,TRUE
Schema,nff,Sche·ma,:{{IPA [b] {{Lautschrift|ˈskeːma}},Substantiv,TRUE
Gage,fmf,Ga·ge,ˈɡaːʒə,Substantiv,TRUE
Gage,mmf,Ga·ge,ˈɡaːʒə,Substantiv,TRUE
Gage,mmf,Ga·ge,ɡɔ̃ːɡ,Substantiv,TRUE
,fnf,Orang-Utan-Er·öff·nung,,Substantiv,TRUE
,fnf,to·te Stel·lung,ˈtoːtə ˈʃtɛlʊŋ,Substantiv,TRUE
Parole,fnf,Pa·ro·le,paˈʁoːlə,Substantiv,TRUE
Parole,fnf,Pa·role,paˈʁoːlə,Substantiv,TRUE
Parole,fnf,Pa·role,paˈʁɔl,Substantiv,TRUE
,fff,Hol·län·di·sche Ver·tei·di·gung,,Substantiv,TRUE
Krater,mff,Kra·ter,ˈkʁaːtɐ,Substantiv,TRUE
Krater,mff,Kra·ter,kʁaˈteːɐ̯,Substantiv,TRUE
Hagen,mff,Ha·gen,ˈhaːɡn̩,Substantiv,TRUE
Hagen,mff,Ha·gen,:{{IPA {{Lautschrift?|…}},Substantiv,TRUE
,nff,Ei des Co·lum·bus,aɪ̯ dəs koˈlʊmbʊs,Substantiv,TRUE
Kapitular,nmf,Ka·pi·tu·lar,ˌkapituˈlaːɐ̯,Substantiv,TRUE
Kapitular,mmf,Ka·pi·tu·lar,ˌkapituˈlaːɐ̯,Substantiv,TRUE
Kapitular,mmf,Ka·pi·tu·lar,kapituˈlaːɐ̯,Substantiv,TRUE
,nmf,Bun·des·amt für Ver·fas·sungs·schutz,ˈbʊndəsˌʔamt fyːɐ̯ fɛɐ̯ˈfasʊŋsˌʃʊt͡s,Substantiv,TRUE
Snack,mmf,Snack,snɛk,Substantiv,TRUE
Snack,mmf,Snack,,Substantiv,TRUE
Anthrax,mnf,An·th·rax,ˈantʁaks,Substantiv,TRUE
Anthrax,nnf,An·th·rax,ˈantʁaks,Substantiv,TRUE
Anthrax,nnf,An·th·rax,:{{IPA{{Lautschrift|ˈantʁaks}},Substantiv,TRUE
Alter,mmf,Al·ter,:{{IPA ein {{Lautschrift|ˈaltɐ}},Substantiv,TRUE
Alter,nmf,Al·ter,:{{IPA ein {{Lautschrift|ˈaltɐ}},Substantiv,TRUE
Alter,nmf,Al·ter,ˈaltɐ,Substantiv,TRUE
Spassvogel,mmf,Spass·vo·gel,ʃpaːsfoːɡəl,Substantiv,TRUE
Spassvogel,mmf,Spass·vo·gel,ʃpasfoːɡəl,Substantiv,TRUE
Russ,mmf,Russ,:{{IPA|CH&amp;LI {{Lautschrift|ʁuːs}},Substantiv,TRUE
Russ,mmf,Russ,:{{IPA|AT {{Lautschrift|ʁʊs}},Substantiv,TRUE
Diner,nnf,Di·ner,diˈneː,Substantiv,TRUE
Diner,mnf,Di·ner,diˈneː,Substantiv,TRUE
Diner,mnf,Di·ner,ˈdaɪ̯nɐ,Substantiv,TRUE
Talk,mff,Talk,talk,Substantiv,TRUE
Talk,mff,Talk,tɔːk,Substantiv,TRUE
Flame,mff,Fla·me,ˈflaːmə,Substantiv,TRUE
Flame,nff,Fla·me,ˈflaːmə,Substantiv,TRUE
Flame,nff,Flame,ˈflaːmə,Substantiv,TRUE
Flame,nff,Flame,flɛɪ̯m,Substantiv,TRUE
Augustus,mnf,Au·gus·tus,aʊ̯ˈɡʊstʊs,Substantiv,TRUE
Augustus,mnf,Au·gu·stus,aʊ̯ˈɡʊstʊs,Substantiv,TRUE
Loser,mmf,Lo·ser,ˈluːzɐ,Substantiv,TRUE
Loser,mmf,Lo·ser,ˈloːzɐ,Substantiv,TRUE
Editor,mnf,Edi·tor,ˈeːditoːɐ̯,Substantiv,TRUE
Editor,mnf,Edi·tor,ˈɛdɪtɐ,Substantiv,TRUE
Geschoss,nnf,Ge·schoss,ɡəˈʃɔs,Substantiv,TRUE
Geschoss,nnf,Ge·schoss,ɡəˈʃoːs,Substantiv,TRUE
Session,fnf,Ses·si·on,zɛˈsi̯oːn,Substantiv,TRUE
Session,fnf,Ses·sion,zɛˈsi̯oːn,Substantiv,TRUE
Session,fnf,Ses·sion,ˈsɛʃn̩,Substantiv,TRUE
Fes,mmf,Fes,feːs,Substantiv,TRUE
Fes,nmf,Fes,feːs,Substantiv,TRUE
Fes,nmf,Fes,fɛs,Substantiv,TRUE
Mascara,mff,Mas·ca·ra,masˈkaːʁa,Substantiv,TRUE
Mascara,mff,Mas·ca·ra {{Pl.}} Mas·ca·ras,masˈkaːʁa,Substantiv,TRUE
,mmf,Ra·yon,ʁɛˈjɔ̃ː,Substantiv,TRUE
,nmf,Ra·yon,ʁɛˈjɔ̃ː,Substantiv,TRUE
,nmf,Ra·yon,ʁɛˈjɔ̃,Substantiv,TRUE
,mnf,Flip-Flop,ˈflɪpflɔp,Substantiv,TRUE
,nnf,Flip-Flop,ˈflɪpflɔp,Substantiv,TRUE
Fund,mmf,Fund,fʊnt,Substantiv,TRUE
Fund,mmf,Fund,,Substantiv,TRUE
Fund,nmf,Fund,,Substantiv,TRUE
Arnis,fmf,Ar·nis,,Substantiv,TRUE
Arnis,nmf,Ar·nis,,Substantiv,TRUE
Arnis,nmf,Arnis,,Substantiv,TRUE
Pascha,mnf,Pa·scha,ˈpaʃa,Substantiv,TRUE
Pascha,nnf,Pa·scha,ˈpaʃa,Substantiv,TRUE
Pascha,nnf,Pas·cha,ˈpaʃa,Substantiv,TRUE
Pascha,nnf,Pas·cha,ˈpasça,Substantiv,TRUE
Burger,mnf,Bur·ger,ˈbœːɐ̯ɡɐ,Substantiv,TRUE
Burger,mnf,Bur·ger,ˈbʊʁɡɐ,Substantiv,TRUE
Hab,mmf,Hab,,Substantiv,TRUE
Hab,mmf,Hab,haːp,Substantiv,TRUE
Sicke,mmf,Si·cke,,Substantiv,TRUE
Sicke,fmf,Si·cke,,Substantiv,TRUE
Sicke,fmf,Si·cke,ˈzɪkə,Substantiv,TRUE
,fnf,1-Raum-Woh·nung,ˈaɪ̯nʁaʊ̯mˌvoːnʊŋ,Substantiv,TRUE
,fnf,1-Zim·mer-Woh·nung,aɪ̯nˈt͡sɪmɐˌvoːnʊŋ,Substantiv,TRUE
Kasachisch,m-lnf,Ka·sa·chisch,kaˈzaxɪʃ,Substantiv,TRUE
Hag,mnf,Hag,,Substantiv,TRUE
Hag,mnf,Hag,haːk,Substantiv,TRUE
Mignon,fmf,Mi·g·non,mɪnˈjɔ̃,Substantiv,TRUE
Mignon,mmf,Mi·g·non,mɪnˈjɔ̃,Substantiv,TRUE
Mignon,mmf,Mig·non,mɪnˈjɔ̃,Substantiv,TRUE
Mignon,mmf,Mig·non,mɪnˈjɔ̃ː,Substantiv,TRUE
Lulu,mmf,Lu·lu,ˈluːlu,Substantiv,TRUE
Lulu,mmf,Lu·lu,,Substantiv,TRUE
Attitude,fnf,At·ti·tude,atiˈtyːd,Substantiv,TRUE
Attitude,fnf,At·ti·tu·de,atiˈtyːd,Substantiv,TRUE
Attitude,fnf,At·ti·tu·de,,Substantiv,TRUE
Māori,mff,Ma·o·ri,maˈoːʁi,Substantiv,TRUE
Māori,{{Deutsch Name Übersichtn}}ff,Ma·o·ri,maˈoːʁi,Substantiv,TRUE
Māori,{{Deutsch Name Übersichtn}}ff,Ma·o·ri,,Substantiv,TRUE
Wachstube,fff,Wach·stu·be,ˈvaxˌʃtuːbə,Substantiv,TRUE
Wachstube,fff,Wachs·tu·be,ˈvaxˌʃtuːbə,Substantiv,TRUE
Wachstube,fff,Wachs·tu·be,ˈvaksˌtuːbə,Substantiv,TRUE
Ginkgo,mnf,Gink·go,ˈɡɪŋko,Substantiv,TRUE
Ginkgo,mnf,Gin·kgo,ˈɡɪŋko,Substantiv,TRUE
Lache,fnf,La·che,ˈlaːxə,Substantiv,TRUE
Lache,fnf,La·che,ˈlaxə,Substantiv,TRUE
Agar,mnf,Agar,aɡaʁ,Substantiv,TRUE
Agar,nnf,Agar,aɡaʁ,Substantiv,TRUE
Agar,nnf,Agar,,Substantiv,TRUE
Hundert,fmf,Hun·dert,ˈhʊndɐt,Substantiv,TRUE
Hundert,nmf,Hun·dert,ˈhʊndɐt,Substantiv,TRUE
Hundert,0mf,Hun·dert,ˈhʊndɐt,Substantiv,TRUE
Hundert,0mf,{{kSg.}},ˈhʊndɐt,Substantiv,TRUE
Hundert,0mf,{{kSg.}},ˈhʊndɐtə,Substantiv,TRUE
Navajo,{{Deutsch Name Übersichtn}}mf,Na·va·jo,,Substantiv,TRUE
Navajo,mmf,Na·va·jo,,Substantiv,TRUE
Navajo,mmf,Na·va·jo,ˈnɛvəhoʊ|naˈvaxo,Substantiv,TRUE
Franzosen,fff,Fran·zo·sen,ˌfʁanˈt͡soːzn̩,Substantiv,TRUE
Franzosen,0ff,Fran·zo·sen,ˌfʁanˈt͡soːzn̩,Substantiv,TRUE
Franzosen,0ff,{{kSg.}},ˌfʁanˈt͡soːzn̩,Substantiv,TRUE
Vlax,{{Deutsch Name Übersichtn}}ff,Vlax,,Substantiv,TRUE
Vlax,0ff,Vlax,,Substantiv,TRUE
Vlax,0ff,{{kSg.}},,Substantiv,TRUE
Trial,nmf,Tri·al,ˈtʁaɪ̯əl,Substantiv,TRUE
Trial,mmf,Tri·al,ˈtʁaɪ̯əl,Substantiv,TRUE
Trial,mmf,Tri·al,ˈtʁiːaːl,Substantiv,TRUE
Negus,mmf,Ne·gus,ˈneːɡʊs,Substantiv,TRUE
Negus,mmf,Ne·gus,ˈniːɡəs,Substantiv,TRUE
L,mmf,L1-Er·werb,ɛlˈʔaɪ̯nsʔɛɐ̯ˌvɛʁp,Substantiv,TRUE
L,mmf,L2-Er·werb,ɛlˈt͡svaɪ̯ʔɛɐ̯ˌvɛʁp,Substantiv,TRUE
Antezedenzien,fnf,An·te·ze·den·zi·en,antet͡seˈdɛnt͡si̯ən,Substantiv,TRUE
Antezedenzien,0nf,An·te·ze·den·zi·en,antet͡seˈdɛnt͡si̯ən,Substantiv,TRUE
Antezedenzien,0nf,{{kSg.}},antet͡seˈdɛnt͡si̯ən,Substantiv,TRUE
Effekten,fnf,Ef·fek·ten,ɛˈfɛktn̩,Substantiv,TRUE
Effekten,0nf,Ef·fek·ten,ɛˈfɛktn̩,Substantiv,TRUE
Effekten,0nf,{{kSg.}},ɛˈfɛktn̩,Substantiv,TRUE
Kerle,0nf,Ker·le,ˈkɛʁlə,Substantiv,TRUE
Kerle,mnf,Ker·le,ˈkɛʁlə,Substantiv,TRUE
Kerle,mnf,Ker·le,,Substantiv,TRUE
Sasse,mff,Sas·se,,Substantiv,TRUE
Sasse,fff,Sas·se,,Substantiv,TRUE
Sasse,fff,Sas·se,ˈzasə,Substantiv,TRUE
Jus,fnm,Jus,ʒyː,Substantiv,TRUE
Jus,nnm,Jus,ʒyː,Substantiv,TRUE
Jus,nnm,Jus,juːs,Substantiv,TRUE
Affenzahn,mnm,Af·fen·zahn,ˈafn̩ˌt͡saːn,Substantiv,TRUE
Affenzahn,mnm,Af·fen·zahn,:{{IPA  {{Lautschrift|ˌafn̩ˈt͡saːn}},Substantiv,TRUE
Python,mfm,Py·thon,ˈpyːtɔn,Substantiv,TRUE
Python,nfm,Py·thon,ˈpyːtɔn,Substantiv,TRUE
Python,nfm,Py·thon,ˈpaɪ̯θən,Substantiv,TRUE
Barkasse,fnm,Bar·kas·se,baʁˈkasə,Substantiv,TRUE
Barkasse,fnm,Bar·kas·se,ˈbaːɐ̯ˌkasə,Substantiv,TRUE
Nutria,fmn,Nu·t·ria,ˈnuːtʁɪa,Substantiv,TRUE
Nutria,mmn,Nu·t·ria,ˈnuːtʁɪa,Substantiv,TRUE
Nutria,mmn,Nu·tria,ˈnuːtʁɪa,Substantiv,TRUE
Fulltime-Job,mmn,Full·time-Job,ˈfʊltaɪ̯mˌd͡ʒɔp,Substantiv,TRUE
Fulltime-Job,mmn,Full-Time-Job,ˈfʊltaɪ̯mˌd͡ʒɔp,Substantiv,TRUE
Eierstich,mmn,Ei·er·stich,ˈaɪ̯ɐˌʃtɪç,Substantiv,TRUE
Eierstich,mmn,<model>wikitext</model>,<comment>Worttrennung; IPA</comment>,Substantiv,TRUE
Manual,nfn,Ma·nu·al,manuˈaːl,Substantiv,TRUE
Manual,nfn,Ma·nu·al,ˈmɛnju̯əl,Substantiv,TRUE
Raphia,fmn,Ra·phia,ˈʁafi̯a,Substantiv,TRUE
Raphia,fmn,Ra·phia,,Substantiv,TRUE
Eubakterie,ffn,Eu·bak·te·rie,ɔɪ̯bakˈteːʁiə,Substantiv,TRUE
Eubakterie,ffn,Eu·bak·te·rie ,ɔɪ̯bakˈteːʁiə,Substantiv,TRUE
Eubakterie,ffn,Eu·bak·te·rie ,ɔɪ̯bakteˈʁiː,Substantiv,TRUE
,mnn,Ho·mo oe·co·no·mi·cus,ˌhoːmo ʔøkoˈnoːmikʊs,Substantiv,TRUE
Web,nnn,Web 2.0,vɛp t͡svaɪ̯ nʊl,Substantiv,TRUE
Sports,mnn,Sports,ʃpɔʁt͡s,Substantiv,TRUE
Sports,0nn,Sports,ʃpɔʁt͡s,Substantiv,TRUE
Sports,0nn,Sports,spɔʁt͡s,Substantiv,TRUE
Hacken,nnn,Ha·cken,ˈhakn̩,Substantiv,TRUE
Hacken,nnn,Ha·cken,ˈhɛkn̩,Substantiv,TRUE
Hacken,mnn,Ha·cken,ˈhɛkn̩,Substantiv,TRUE
Hacken,mnn,Ha·cken,ˈhakn̩,Substantiv,TRUE
Hacken,fnn,Ha·cken,ˈhakn̩,Substantiv,TRUE
Hacken,fnn,Ha·cken,ˈhakn̩,Substantiv,TRUE
,mmn,11. Sep·tem·ber,ˌɛlftɐ zɛpˈtɛmbɐ,Substantiv,TRUE
Lyoner,mmn,Ly·o·ner {{kSt.}},ˈli̯oːnɐ,Substantiv,TRUE
Lyoner,mmn,Ly·o·ner,ˈli̯oːnɐ,Substantiv,TRUE
Lyoner,fmn,Ly·o·ner,ˈli̯oːnɐ,Substantiv,TRUE
Empire,nnn,Em·pi·re,ˈɛmpaɪ̯ɐ,Substantiv,TRUE
Empire,nnn,Em·pi·re,ɑ̃ˈpiːɐ̯,Substantiv,TRUE
Jota,fmn,Jo·ta,ˈxoːta,Substantiv,TRUE
Jota,nmn,Jo·ta,ˈxoːta,Substantiv,TRUE
Jota,nmn,Jo·ta,ˈjoːta,Substantiv,TRUE
Revers,nmn,Re·vers,:[1] {{IPA {{Lautschrift|ʁeˈveːɐ̯}},Substantiv,TRUE
Revers,nmn,Re·vers,:[2] {{IPA {{Lautschrift|ʁeˈvɛʁs}},Substantiv,TRUE
Robot,fmn,Ro·bot,ˈʁɔbɔt,Substantiv,TRUE
Robot,mmn,Ro·bot,ˈʁɔbɔt,Substantiv,TRUE
Robot,mmn,Ro·bot,:{{IPA,Substantiv,TRUE
Rock,mnn,Rock ’n’ Roll,ʁɔkn̩ˈʁoːl,Substantiv,TRUE
Vollzug,mmn,Voll·zug,ˈfɔlˌt͡suːk,Substantiv,TRUE
Vollzug,mmn,Voll·zug,fɔlˈt͡suːk,Substantiv,TRUE
Heptagon,nmn,Hep·ta·gon,hɛptaˈɡoːn,Substantiv,TRUE
Heptagon,nmn,<model>wikitext</model>,<comment>Worttrennung; IPA</comment>,Substantiv,TRUE
Quatember,mmm,Qua·tem·ber,ˌkvaˈtɛmbɐ,Substantiv,TRUE
Quatember,mmm,<model>wikitext</model>,<comment>Worttrennung; IPA</comment>,Substantiv,TRUE
,fnm,@1@,:{{IPA @3@,Substantiv,TRUE
Reunion,fnm,Re·uni·on,ʁeʔuˈni̯oːn,Substantiv,TRUE
Reunion,fnm,Re·uni·on,ʁeʔyˈni̯ɔ̃ː,Substantiv,TRUE
Reunion,fnm,Re·uni·on,ʁiˈjʊni̯ən,Substantiv,TRUE
Dreh,mnn,Dreh,dʁeː,Substantiv,TRUE
Dreh,mnn,Dreh,dr̺eː,Substantiv,TRUE
Drehe,fnn,Dre·he,ˈdʁeːə,Substantiv,TRUE
Drehe,fnn,Dre·he,ˈdr̺eːə,Substantiv,TRUE
Journal,nnn,Jour·nal,ʒʊʁˈnaːl,Substantiv,TRUE
Journal,nnn,Jour·nal,ˈd͡ʒəːnl̩,Substantiv,TRUE
Generation,fmn,Ge·ne·ra·ti·on @,ɡeneʁaˈt͡si̯oːn ˈɛt,Substantiv,TRUE
,fnn,’Ndran·ghe·ta,ˈndʁaŋɡeta,Substantiv,TRUE
K,0mn,{{kSg.}},kaːˈʔoːˌtʁɔp͡fn̩,Substantiv,TRUE
,mmn,1. Ko·rin·ther·brief,ˌeːɐ̯stɐ koˈʁɪntɐˌbʁiːf,Substantiv,TRUE
,mmn,2. Ko·rin·ther·brief,ˌt͡svaɪ̯tɐ koˈʁɪntɐˌbʁiːf,Substantiv,TRUE
Piccolo,mnn,Pic·co·lo,ˈpɪkolo,Substantiv,TRUE
Piccolo,fnn,Pic·co·lo,ˈpɪkolo,Substantiv,TRUE
Piccolo,fnn,Pic·co·lo,,Substantiv,TRUE
Piccolo,nnn,Pic·co·lo,,Substantiv,TRUE
Fehl,mnn,Fehl,feːl,Substantiv,TRUE
Fehl,nnn,Fehl,feːl,Substantiv,TRUE
Fehl,fnn,Fehl,feːl,Substantiv,TRUE
Fehl,fnn,Fehl,,Substantiv,TRUE
Check,mmn,Check,t͡ʃɛk,Substantiv,TRUE
Check,mmn,Check,ʃɛk,Substantiv,TRUE
,fnn,@1@,:{{IPA @3@,Substantiv,TRUE
Wässern,fnn,Wäs·sern,ˈvɛsɐn,Substantiv,TRUE
Wässern,nnn,Wäs·sern,ˈvɛsɐn,Substantiv,TRUE
Wässern,nnn,Wäs·sern {{kPl.}},ˈvɛsɐn,Substantiv,TRUE
Sergeant,mmf,Ser·geant,zɛʁˈʒant,Substantiv,TRUE
Sergeant,mmf,Ser·geant,:{{IPA ''englisch'': {{Lautschrift|zaːɐ̯ˈʒn̩t}},Substantiv,TRUE
Scharpie,fmf,Schar·pie,ʃaʁˈpiː,Substantiv,TRUE
Scharpie,nmf,Schar·pie,ʃaʁˈpiː,Substantiv,TRUE
Scharpie,nmf,Schar·pie,ˈʃaʁpi,Substantiv,TRUE
K,fnf,K.-u.-k.-Mo·n·ar·chie,,Substantiv,TRUE
K,mnf,K.-o.-Sieg,kaːˈʔoːˌziːk,Substantiv,TRUE
Port,mnf,Port,pɔʁt,Substantiv,TRUE
Port,mnf,Port,,Substantiv,TRUE
Musikkapelle,fnf,Mu·sik·ka·pel·le,muˈziːkkapɛlə,Substantiv,TRUE
Musikkapelle,fnf,Mu·sik·ka·pel·le,:{{IPA ''[[österreichisch]]:'' {{Lautschrift|muˈzɪkkapɛlə}},Substantiv,TRUE
Wachtraum,mmf,Wach·traum,ˈvaxˌtʁaʊ̯m,Substantiv,TRUE
Wachtraum,mmf,Wacht·raum,ˈvaxˌtʁaʊ̯m,Substantiv,TRUE
Wachtraum,mmf,Wacht·raum,ˈvaxtˌʁaʊ̯m,Substantiv,TRUE
Traumprinz,mnf,Traum·prinz,ˈtʁaʊ̯mˌpʁɪnt͡s,Substantiv,TRUE
Traumprinz,mnf,wel·tos,ˈwɛltɔs,Substantiv,TRUE
Massenpunkt,mff,Mas·sen·punkt,ˈmasn̩ˌpʊŋkt,Substantiv,TRUE
Massenpunkt,mff,<model>wikitext</model>,<comment>Korrektur Worttrennung; IPA</comment>,Substantiv,TRUE
Perl,nff,Perl,pœːɐ̯l,Substantiv,TRUE
Perl,fff,Perl,pœːɐ̯l,Substantiv,TRUE
Perl,fff,Perl,pɛʁl,Substantiv,TRUE
Birk,fmf,Birk,bɪʁk,Substantiv,TRUE
Birk,nmf,Birk,bɪʁk,Substantiv,TRUE
Birk,nmf,Birk,ˈbɪʁk,Substantiv,TRUE
Oka,fmf,Oka,aˈka,Substantiv,TRUE
Oka,fmf,Oka,ˈoːka,Substantiv,TRUE
Ban,mnf,Ban,baːn,Substantiv,TRUE
Ban,nnf,Ban,baːn,Substantiv,TRUE
Ban,nnf,Ban,ban,Substantiv,TRUE
Ammon,mmf,Am·mon,,Substantiv,TRUE
Ammon,nmf,Am·mon,,Substantiv,TRUE
Ammon,nmf,Am·mon,aˈmoːn,Substantiv,TRUE
,mmf,400-Eu·ro-Job,ˌfiːɐ̯hʊndɐtˈʔɔɪ̯ʁoˌdʒɔp,Substantiv,TRUE
,nff,2-He·xa·nol,,Substantiv,TRUE
,nff,3-He·xa·nol,,Substantiv,TRUE
,mff,450-Eu·ro-Job,ˌfiːɐ̯hʊndɐtˌfʏnft͡sɪçˈʔɔɪ̯ʁoˌdʒɔp,Substantiv,TRUE
,mff,1-Eu·ro-Job,aɪ̯nˈʔɔɪ̯ʁod͡ʒɔp,Substantiv,TRUE
,mff,400-Eu·ro-Job·ber,ˌfiːɐ̯hʊndɐtˈʔɔɪ̯ʁoˌd͡ʒɔbɐ,Substantiv,TRUE
,nmf,Web-Se·mi·nar,ˈvɛbzemiˌnaːɐ̯,Substantiv,TRUE
,mmf,1-Eu·ro-Job·ber,ˌaɪ̯nˈʔɔɪ̯ʁoˌd͡ʒɔbɐ,Substantiv,TRUE
Pint,mmf,Pint,pɪnt,Substantiv,TRUE
Pint,nmf,Pint,pɪnt,Substantiv,TRUE
Pint,nmf,Pint,paɪ̯nt,Substantiv,TRUE
Item,nmf,Item,ˈaɪ̯təm,Substantiv,TRUE
Item,nmf,Item,ˈiːtɛm,Substantiv,TRUE
,mff,60-Se·kun·den-Takt,ˌzɛçt͡sɪçzeˈkʊndn̩ˌtakt,Substantiv,TRUE
,mff,5-Mi·nu·ten-Takt,ˌfʏnfmiˈnuːtn̩ˌtakt,Substantiv,TRUE
Daina,fnf,Dai·na,daɪ̯ˈna,Substantiv,TRUE
