Lexem,keep,Genus,Worttrennung,IPA,Wortart,Nomen
Aa,n,f,Aa,aː,Substantiv,TRUE
Aa,n,n,Aa,aː,Substantiv,TRUE
Aa,n,n,Aa,aˈʔa,Substantiv,TRUE
Abessinien,n,f,Abes·si·ni·en,abɛˈsiːni̯ən,Substantiv,TRUE
Abessinien,n,n,Abes·si·ni·en,abɛˈsiːni̯ən,Substantiv,TRUE
Abessinien,n,n,Abes·si·ni·en,,Substantiv,TRUE
Abteiltüre,y,f,Ab·teil·tü·re,apˈtaɪ̯lˌtyːʁə,Substantiv,TRUE
Abteiltüre,n,f,Ab·teil·tü·re,:{{IPA|AT {{Lautschrift|ˈaptaɪ̯lˌtyːʁə}},Substantiv,TRUE
Affenzahn,y,m,Af·fen·zahn,ˈafn̩ˌt͡saːn,Substantiv,TRUE
Affenzahn,n,m,Af·fen·zahn,:{{IPA  {{Lautschrift|ˌafn̩ˈt͡saːn}},Substantiv,TRUE
Agar,n,f,Agar,aɡaʁ,Substantiv,TRUE
Agar,y,mn,Agar,aɡaʁ,Substantiv,TRUE
Agar,n,n,Agar,,Substantiv,TRUE
Altai,y,m,Al·tai,alˈtaɪ̯,Substantiv,TRUE
Altai,n,m,Al·tai,,Substantiv,TRUE
Alter,n,m,Al·ter,:{{IPA ein {{Lautschrift|ˈaltɐ}},Substantiv,TRUE
Alter,n,n,Al·ter,:{{IPA ein {{Lautschrift|ˈaltɐ}},Substantiv,TRUE
Alter,n,n,Al·ter,ˈaltɐ,Substantiv,TRUE
Alternative,y,f,Al·ter·na·ti·ve,ˌaltɛʁnaˈtiːvə,Substantiv,TRUE
Alternative,n,f,Al·ter·na·tive,ˌaltɛʁnaˈtiːvə,Substantiv,TRUE
Alternative,n,f,Al·ter·na·tive,,Substantiv,TRUE
Ammon,n,m,Am·mon,,Substantiv,TRUE
Ammon,n,n,Am·mon,,Substantiv,TRUE
Ammon,y,n,Am·mon,aˈmoːn,Substantiv,TRUE
Antezedenzien,y,f,An·te·ze·den·zi·en,antet͡seˈdɛnt͡si̯ən,Substantiv,TRUE
Antezedenzien,n,0,An·te·ze·den·zi·en,antet͡seˈdɛnt͡si̯ən,Substantiv,TRUE
Antezedenzien,n,0,{{kSg.}},antet͡seˈdɛnt͡si̯ən,Substantiv,TRUE
Anthrax,n,m,An·th·rax,ˈantʁaks,Substantiv,TRUE
Anthrax,y,nm,An·th·rax,ˈantʁaks,Substantiv,TRUE
Anthrax,n,n,An·th·rax,:{{IPA{{Lautschrift|ˈantʁaks}},Substantiv,TRUE
Arnis,n,f,Ar·nis,,Substantiv,TRUE
Arnis,n,n,Ar·nis,,Substantiv,TRUE
Arnis,n,n,Arnis,,Substantiv,TRUE
Artilleriegeschoss,y,n,Ar·til·le·rie·ge·schoss,aʁtɪləˈʁiːɡəˌʃɔs,Substantiv,TRUE
Artilleriegeschoss,n,n,Ar·til·le·rie·ge·schoss,aʁtɪləˈʁiːɡəˌʃoːs,Substantiv,TRUE
Assi,y,m,As·si,ˈazi,Substantiv,TRUE
Assi,n,m,As·si,ˈasi,Substantiv,TRUE
Attitude,y,f,At·ti·tude,atiˈtyːd,Substantiv,TRUE
Attitude,n,f,At·ti·tu·de,atiˈtyːd,Substantiv,TRUE
Attitude,n,f,At·ti·tu·de,,Substantiv,TRUE
Augustus,n,m,Au·gus·tus,aʊ̯ˈɡʊstʊs,Substantiv,TRUE
Augustus,n,m,Au·gu·stus,aʊ̯ˈɡʊstʊs,Substantiv,TRUE
Baba,n,f,Ba·ba,ˈbaːba,Substantiv,TRUE
Baba,y,m,Ba·ba,ˈbaːba,Substantiv,TRUE
Baba,n,m,Ba·ba,baˈbaː,Substantiv,TRUE
Baba,n,f,Ba·ba,baˈbaː,Substantiv,TRUE
Baba,n,f,Ba·ba,,Substantiv,TRUE
Bacile,n,n,Ba·ci·le,baˈt͡ʃiːlə,Substantiv,TRUE
Bacile,n,m,Ba·ci·le,baˈt͡ʃiːlə,Substantiv,TRUE
Bacile,n,m,Ba·ci·le,,Substantiv,TRUE
Back,y,f,Back,bak,Substantiv,TRUE
Back,n,m,Back,bak,Substantiv,TRUE
Back,n,m,Back,bɛk,Substantiv,TRUE
Bahai,y,m,Ba·hai,baˈhaɪ̯,Substantiv,TRUE
Bahai,n,f,Ba·hai,baˈhaɪ̯,Substantiv,TRUE
Bahai,n,f,Ba·hai,,Substantiv,TRUE
Ban,n,m,Ban,baːn,Substantiv,TRUE
Ban,n,n,Ban,baːn,Substantiv,TRUE
Ban,n,n,Ban,ban,Substantiv,TRUE
Band,y,n,Band,bant,Substantiv,TRUE
Band,n,m,Band,bant,Substantiv,TRUE
Band,n,f,Band,bant,Substantiv,TRUE
Band,n,f,Band,bɛnt,Substantiv,TRUE
Band,n,n,Band,bɛnt,Substantiv,TRUE
Barkasse,y,f,Bar·kas·se,baʁˈkasə,Substantiv,TRUE
Barkasse,n,f,Bar·kas·se,ˈbaːɐ̯ˌkasə,Substantiv,TRUE
Beige,y,n,Beige,beːʃ,Substantiv,TRUE
Beige,n,f,Beige,beːʃ,Substantiv,TRUE
Beige,n,f,Bei·ge,beːʃ,Substantiv,TRUE
Beige,n,f,Bei·ge,ˈbaɪ̯ɡə,Substantiv,TRUE
Bema,y,n,Be·ma,ˈbeːma,Substantiv,TRUE
Bema,n,n,Be·ma,,Substantiv,TRUE
Birk,n,f,Birk,bɪʁk,Substantiv,TRUE
Birk,n,n,Birk,bɪʁk,Substantiv,TRUE
Birk,y,n,Birk,ˈbɪʁk,Substantiv,TRUE
Bit,y,n,Bit,bɪt,Substantiv,TRUE
Bit,n,n,Bit,,Substantiv,TRUE
Boot,y,n,Boot,boːt,Substantiv,TRUE
Boot,n,m,Boot,boːt,Substantiv,TRUE
Boot,n,m,Boot,buːt,Substantiv,TRUE
Bougainville,n,f,Bou·gain·vil·lea,,Substantiv,TRUE
Bougainville,n,f,Bou·gain·vil·lie,buɡɛˈvɪli̯ə,Substantiv,TRUE
Boulevard,y,m,Bou·le·vard,buləˈvaːɐ̯,Substantiv,TRUE
Boulevard,n,m,<model>wikitext</model>,<comment>Worttrennung; IPA</comment>,Substantiv,TRUE
Braun,y,n,Braun,bʁaʊ̯n,Substantiv,TRUE
Braun,n,m,Braun,bʁaʊ̯n,Substantiv,TRUE
Braun,n,m,Braun,,Substantiv,TRUE
Bruch,y,m,Bruch,bʁʊx,Substantiv,TRUE
Bruch,n,n,Bruch,bʁʊx,Substantiv,TRUE
Bruch,n,n,Bruch,bʁuːx,Substantiv,TRUE
Bug,y,m,Bug,buːk,Substantiv,TRUE
Bug,n,m,Bug,baɡ,Substantiv,TRUE
Bulle,y,m,Bul·le,ˈbʊlə,Substantiv,TRUE
Bulle,n,f,Bul·le,ˈbʊlə,Substantiv,TRUE
Bulle,n,f,Bul·le {{Pl.}} Bul·len,ˈbʊlə,Substantiv,TRUE
Burger,y,m,Bur·ger,ˈbœːɐ̯ɡɐ,Substantiv,TRUE
Burger,n,m,Bur·ger,ˈbʊʁɡɐ,Substantiv,TRUE
Burka,y,f,Bur·ka,ˈbʊʁka,Substantiv,TRUE
Burka,n,f,Bur·ka,,Substantiv,TRUE
Burren,y,m,Bur·ren,ˈbʊʁən,Substantiv,TRUE
Burren,n,m,Bur·ren,ˈbʌɹən,Substantiv,TRUE
Bus,y,m,Bus,bʊs,Substantiv,TRUE
Bus,n,m,Bus,bœs&lt;ref name=&quot;Stielau14&quot;/&gt;,Substantiv,TRUE
Bus,n,m,Bus,,Substantiv,TRUE
Bus,n,m,Bus,buːs,Substantiv,TRUE
Butandisäure,n,f,Bu·tan·di·säu·re,,Substantiv,TRUE
Butandisäure,n,f,<model>wikitext</model>,<comment>Worttrennung; IPA</comment>,Substantiv,TRUE
C4,y,n,C4,t͡seːˈfiːɐ̯,Substantiv,TRUE
C3,y,n,C3,t͡seːˈdʁaɪ̯,Substantiv,TRUE
C2,y,n,C2,t͡seːˈt͡svaɪ̯,Substantiv,TRUE
C1,y,n,C1,t͡seːˈaɪ̯ns,Substantiv,TRUE
C0,y,n,C0,t͡seːˈnʊl,Substantiv,TRUE
Ceylon,y,m,Cey·lon,ˈt͡saɪ̯lɔn,Substantiv,TRUE
Ceylon,n,m,Cey·lon ({{Pl.}} Cey·lon-Sor·ten),ˈt͡saɪ̯lɔn,Substantiv,TRUE
Check,y,m,Check,t͡ʃɛk,Substantiv,TRUE
Check,n,m,Check,ʃɛk,Substantiv,TRUE
China,y,n,Chi·na,ˈçiːna,Substantiv,TRUE
China,n,f,Chi·na,ˈçiːna,Substantiv,TRUE
China,n,f,Chi·na,,Substantiv,TRUE
Circus,y,m,Cir·cus,ˈt͡sɪʁkʊs,Substantiv,TRUE
Circus,n,m,Cir·cus,,Substantiv,TRUE
cis-,n,f,cis-13-Do·co·sen·säu·re,,Substantiv,TRUE
cis-,n,f,cis-9-Oc·ta·de·cen·säu·re,,Substantiv,TRUE
Client,y,m,Cli·ent,ˈklaɪ̯ənt,Substantiv,TRUE
Client,n,f,Cli·ent/Ser·ver-An·wen·dung,klaɪəntˈsœːɐ̯vɐˌʔanvɛndʊŋ,Substantiv,TRUE
Cox,n,f,Cox’ Oran·ge,,Substantiv,TRUE
Cox,n,m,Cox,,Substantiv,TRUE
Cyclohexan,y,n,Cy·c·lo·he·xan,ˌt͡syklohɛˈksaːn,Substantiv,TRUE
Cyclohexan,n,n,<model>wikitext</model>,<comment>Worttrennung; IPA</comment>,Substantiv,TRUE
Daina,n,f,Dai·na,daɪ̯ˈna,Substantiv,TRUE
Daina,n,f,Dai·na,ˈdaɪ̯na,Substantiv,TRUE
Dan,n,m,Dan,,Substantiv,TRUE
Dan,y,m,Dan,daːn,Substantiv,TRUE
Delaware,n,m,De·la·ware,ˈdɛləˌvɛːɐ̯,Substantiv,TRUE
Delaware,n,m,De·la·wa·re,ˈdɛləˌvɛːɐ̯,Substantiv,TRUE
Delaware,n,m,De·la·wa·re,ˌdelaˈvaːʁə,Substantiv,TRUE
Dezil,n,n,De·zil,deˈt͡siːl,Substantiv,TRUE
Dezil,n,n,<model>wikitext</model>,<comment>Worttrennung nach deutscher Rechtschreibung; IPA; Kleinschreibung (englisch)</comment>,Substantiv,TRUE
Diner,n,n,Di·ner,diˈneː,Substantiv,TRUE
Diner,n,m,Di·ner,diˈneː,Substantiv,TRUE
Diner,y,m,Di·ner,ˈdaɪ̯nɐ,Substantiv,TRUE
Dreh,y,m,Dreh,dʁeː,Substantiv,TRUE
Dreh,n,m,Dreh,dr̺eː,Substantiv,TRUE
Drehe,n,f,Dre·he,ˈdʁeːə,Substantiv,TRUE
Drehe,n,f,Dre·he,ˈdr̺eːə,Substantiv,TRUE
Dunkelfeld,y,n,Dun·kel·feld,ˈdʊŋkl̩ˌfɛlt,Substantiv,TRUE
Dunkelfeld,n,n,<model>wikitext</model>,<comment>Worttrennung; IPA</comment>,Substantiv,TRUE
Dust,n,m,Dust,dʊst,Substantiv,TRUE
Dust,n,m,Dust,dast,Substantiv,TRUE
Editor,y,m,Edi·tor,ˈeːditoːɐ̯,Substantiv,TRUE
Editor,n,m,Edi·tor,ˈɛdɪtɐ,Substantiv,TRUE
Effekten,n,f,Ef·fek·ten,ɛˈfɛktn̩,Substantiv,TRUE
Effekten,n,0,Ef·fek·ten,ɛˈfɛktn̩,Substantiv,TRUE
Effekten,n,0,{{kSg.}},ɛˈfɛktn̩,Substantiv,TRUE
Eierstich,y,m,Ei·er·stich,ˈaɪ̯ɐˌʃtɪç,Substantiv,TRUE
Eierstich,n,m,<model>wikitext</model>,<comment>Worttrennung; IPA</comment>,Substantiv,TRUE
Eis,y,n,Eis,aɪ̯s,Substantiv,TRUE
Eis,n,n,Eis,ˈeːɪs,Substantiv,TRUE
Elementmolekül,y,n,Ele·ment·mo·le·kül,eleˈmɛntmoleˌkyːl,Substantiv,TRUE
Elementmolekül,n,n,<model>wikitext</model>,<comment>Korrektur Worttrennung; IPA</comment>,Substantiv,TRUE
Empfindung,y,f,Emp·fin·dung,ɛmˈp͡fɪndʊŋ,Substantiv,TRUE
Empfindung,n,f,# In der Standardlautung wird {{Lautschrift|bn̩,# [[Postalveolar]]e [[Frikativ]]e und [[Affrikate]]n werden in IPA mit {{Lautschrift|t͡ʃ,Substantiv,TRUE
Empire,y,n,Em·pi·re,ˈɛmpaɪ̯ɐ,Substantiv,TRUE
Empire,n,n,Em·pi·re,ɑ̃ˈpiːɐ̯,Substantiv,TRUE
Erbe,n,n,Er·be,ˈɛʁbə,Substantiv,TRUE
Erbe,y,mn,Er·be,ˈɛʁbə,Substantiv,TRUE
Erbe,n,m,Er·be,ˈɛʁbə,Substantiv,TRUE
Etagere,y,f,Eta·ge·re,etaˈʒeːʁə,Substantiv,TRUE
Etagere,n,f,Eta·ge·re,:{{IPA|AT {{Lautschrift|etaˈʒeːɐ̯}},Substantiv,TRUE
Eubakterie,y,f,Eu·bak·te·rie,ɔɪ̯bakˈteːʁiə,Substantiv,TRUE
Eubakterie,n,f,Eu·bak·te·rie,ɔɪ̯bakˈteːʁiə,Substantiv,TRUE
Eubakterie,n,f,Eu·bak·te·rie,ɔɪ̯bakteˈʁiː,Substantiv,TRUE
Fackel,y,f,Fa·ckel,ˈfakl̩,Substantiv,TRUE
Fackel,n,n,Fa·ckel,ˈfakl̩,Substantiv,TRUE
Fackel,n,n,Fa·ckel,,Substantiv,TRUE
Fackel,n,m,Fa·ckel,,Substantiv,TRUE
Fackel,n,m,Fa·ckel,:{{IPA,Substantiv,TRUE
Fasten,y,n,Fas·ten,ˈfastn̩,Substantiv,TRUE
Fasten,n,0,Fas·ten,ˈfastn̩,Substantiv,TRUE
Fasten,n,0,{{kSg.}},ˈfastn̩,Substantiv,TRUE
Fehl,y,m,Fehl,feːl,Substantiv,TRUE
Fehl,n,n,Fehl,feːl,Substantiv,TRUE
Fehl,n,f,Fehl,feːl,Substantiv,TRUE
Fehl,n,f,Fehl,,Substantiv,TRUE
Fes,y,m,Fes,feːs,Substantiv,TRUE
Fes,n,n,Fes,feːs,Substantiv,TRUE
Fes,n,n,Fes,fɛs,Substantiv,TRUE
Fez,y,m,Fez,feːs,Substantiv,TRUE
Fez,n,m,Fez,feːt͡s,Substantiv,TRUE
Flame,n,m,Fla·me,ˈflaːmə,Substantiv,TRUE
Flame,n,m,Flame,ˈflaːmə,Substantiv,TRUE
Flame,y,m,Flame,flɛɪ̯m,Substantiv,TRUE
Flosse,y,f,Flos·se,ˈflɔsə,Substantiv,TRUE
Flosse,n,f,<sha1>thbhplfxw9k0sp9zz47kmv6u1164bc9</sha1>,ˈflɔsə,Substantiv,TRUE
Fluor,y,n,Flu·or,ˈfluːoːɐ̯,Substantiv,TRUE
Fluor,n,m,Flu·or,ˈfluːoːɐ̯,Substantiv,TRUE
Fluor,n,m,Flu·or,ˈfluoɐ̯,Substantiv,TRUE
Fon,y,n,Fon,foːn,Substantiv,TRUE
Fon,n,n,Fon,,Substantiv,TRUE
Fon,n,{{Deutsch Name Übersichtn}},Fon,,Substantiv,TRUE
Fon,n,{{Deutsch Name Übersichtn}},Fon,fɔn,Substantiv,TRUE
Formel,y,f,For·mel,ˈfɔʁml̩,Substantiv,TRUE
Formel,n,f,For·mel 1,ˌfɔʁml̩ ˈaɪ̯ns,Substantiv,TRUE
Franchise,y,nf,Fran·chise,ˈfʁɛnʃaɪ̯s,Substantiv,TRUE
Franchise,n,f,Fran·chise,ˈfʁɛnʃaɪ̯s,Substantiv,TRUE
Franchise,n,f,Fran·chi·se,ˈfʁɛnʃaɪ̯s,Substantiv,TRUE
Franchise,n,f,Fran·chi·se,fʁɑ̃ˈʃiːzə,Substantiv,TRUE
Franzosen,n,f,Fran·zo·sen,ˌfʁanˈt͡soːzn̩,Substantiv,TRUE
Franzosen,n,0,Fran·zo·sen,ˌfʁanˈt͡soːzn̩,Substantiv,TRUE
Franzosen,n,0,{{kSg.}},ˌfʁanˈt͡soːzn̩,Substantiv,TRUE
Fulltime-Job,y,m,Full·time-Job,ˈfʊltaɪ̯mˌd͡ʒɔp,Substantiv,TRUE
Fulltime-Job,n,m,Full-Time-Job,ˈfʊltaɪ̯mˌd͡ʒɔp,Substantiv,TRUE
Fund,y,m,Fund,fʊnt,Substantiv,TRUE
Fund,n,m,Fund,,Substantiv,TRUE
Fund,n,n,Fund,,Substantiv,TRUE
Gaffer,y,m,Gaf·fer,ˈɡafɐ,Substantiv,TRUE
Gaffer,n,m,Gaf·fer,ˈɡafɐ,Substantiv,TRUE
Gaffer,n,m,Gaf·fer,,Substantiv,TRUE
Gage,y,f,Ga·ge,ˈɡaːʒə,Substantiv,TRUE
Gage,n,m,Ga·ge,ˈɡaːʒə,Substantiv,TRUE
Gage,n,m,Ga·ge,ɡɔ̃ːɡ,Substantiv,TRUE
Gamergate,n,f,Ga·m·er·ga·te,:{{IPA {{Lautschrift?|ɡamɛʁˈɡaːtə}},Substantiv,TRUE
Gamergate,n,n,Ga·m·er·ga·te,:{{IPA {{Lautschrift?|ɡamɛʁˈɡaːtə}},Substantiv,TRUE
Gamergate,n,n,Ga·mer·gate,:{{IPA {{Lautschrift?|ɡamɛʁˈɡaːtə}},Substantiv,TRUE
Gamergate,y,n,Ga·mer·gate,ˈɡɛɪ̯mɐˌɡɛɪ̯t,Substantiv,TRUE
Gang,y,mf,Gang,ɡaŋ|ɡɛŋ,Substantiv,TRUE
Gang,n,f,Gang,ɡaŋ,Substantiv,TRUE
Gang,n,f,Gang,,Substantiv,TRUE
Generation,y,f,Ge·ne·ra·ti·on,ɡeneʁaˈt͡si̯oːn,Substantiv,TRUE
Generation,n,f,Ge·ne·ra·ti·on @,ɡeneʁaˈt͡si̯oːn ˈɛt,Substantiv,TRUE
Geschoß,y,n,Ge·schoß,ɡəˈʃoːs,Substantiv,TRUE
Geschoß,n,n,Ge·schoß,ɡəˈʃɔs,Substantiv,TRUE
Geschoss,n,n,Ge·schoss,ɡəˈʃɔs,Substantiv,TRUE
Geschoss,n,n,Ge·schoss,ɡəˈʃoːs,Substantiv,TRUE
Geschosshöhe,y,f,Ge·schoss·hö·he,ɡəˈʃɔsˌhøːə,Substantiv,TRUE
Geschosshöhe,n,f,Ge·schoss·hö·he,ɡəˈʃoːsˌhøːə,Substantiv,TRUE
Geschoßhöhe,n,f,Ge·schoß·hö·he,ɡəˈʃoːsˌhøːə,Substantiv,TRUE
Geschoßhöhe,n,f,Ge·schoß·hö·he,ɡəˈʃɔsˌhøːə,Substantiv,TRUE
Ginkgo,y,m,Gink·go,ˈɡɪŋko,Substantiv,TRUE
Ginkgo,n,m,Gin·kgo,ˈɡɪŋko,Substantiv,TRUE
Glacé,y,m,Gla·cé,ɡlaˈseː,Substantiv,TRUE
Glacé,n,n,Gla·cé,ɡlaˈseː,Substantiv,TRUE
Glacé,n,n,Gla·cé,,Substantiv,TRUE
Glans,y,f,Glans,ɡlaːns,Substantiv,TRUE
Glans,n,f,Glans,ɡlans,Substantiv,TRUE
Gros,y,n,Gros,ɡʁɔs,Substantiv,TRUE
Gros,n,n,Gros,ɡʁoː,Substantiv,TRUE
Gros,n,m,Gros,ɡʁoː,Substantiv,TRUE
Gros,n,m,Gros,,Substantiv,TRUE
Hab,n,m,Hab,,Substantiv,TRUE
Hab,y,m,Hab,haːp,Substantiv,TRUE
Hack,y,n,Hack,hak,Substantiv,TRUE
Hack,n,m,Hack,hak,Substantiv,TRUE
Hack,n,m,Hack,hɛk,Substantiv,TRUE
Hacken,y,mn,Ha·cken,ˈhakn̩,Substantiv,TRUE
Hacken,n,n,Ha·cken,ˈhɛkn̩,Substantiv,TRUE
Hacken,n,m,Ha·cken,ˈhɛkn̩,Substantiv,TRUE
Hacken,n,m,Ha·cken,ˈhakn̩,Substantiv,TRUE
Hacken,n,f,Ha·cken,ˈhakn̩,Substantiv,TRUE
Hacken,n,f,Ha·cken,ˈhakn̩,Substantiv,TRUE
Hacker,y,m,Ha·cker,ˈhɛkɐ|ˈhakɐ,Substantiv,TRUE
Hacker,n,m,Ha·cker,ˈhakɐ,Substantiv,TRUE
Hag,n,m,Hag,,Substantiv,TRUE
Hag,y,m,Hag,haːk,Substantiv,TRUE
Hagen,y,m,Ha·gen,ˈhaːɡn̩,Substantiv,TRUE
Hagen,n,m,Ha·gen,:{{IPA {{Lautschrift?|…}},Substantiv,TRUE
Handball,y,m,Hand·ball,ˈhantˌbal,Substantiv,TRUE
Handball,n,m,Hand·ball,ˈhantbal,Substantiv,TRUE
Havanna,n,m,Ha·van·na,haˈvana,Substantiv,TRUE
Havanna,y,f,Ha·van·na,haˈvana,Substantiv,TRUE
Havanna,n,f,Ha·van·na,,Substantiv,TRUE
Heldentat,y,f,Hel·den·tat,ˈhɛldn̩ˌtaːt,Substantiv,TRUE
Heldentat,n,f,ᚹᚨᛗ·ᛒᛟ,ˈwɑm.bɔː,Substantiv,TRUE
Helles,y,n,Hel·les,ˈhɛləs,Substantiv,TRUE
Helles,n,n,In meiner Schulausgabe der 38. Auflage kann in beiden Fällen vor dem l abgeteilt (österr. für getrennt) werden,::::Auch 43. Aufl. ist wie Peter schon geschrieben hat: Sin|g|le (IPA übrigens [ˈsɪŋɡl] !?),Substantiv,TRUE
Helles,n,n,@[[Benutzer:Master of Contributions|MoC]] „Von meiner Seite aus wäre es mit einer Anmerkung und der Angabe der in Wahrig angegebenen Worttrennung getan.“ – Mit Ersterem bin ich einverstanden,::::Auch 43. Aufl. ist wie Peter schon geschrieben hat: Sin|g|le (IPA übrigens [ˈsɪŋɡl] !?),Substantiv,TRUE
Helles,n,n,Wäre es auch in deinem Sinne,::::Auch 43. Aufl. ist wie Peter schon geschrieben hat: Sin|g|le (IPA übrigens [ˈsɪŋɡl] !?),Substantiv,TRUE
Helles,n,n,:Hallo [[Benutzer:IvanP|IvanP]],::::Auch 43. Aufl. ist wie Peter schon geschrieben hat: Sin|g|le (IPA übrigens [ˈsɪŋɡl] !?),Substantiv,TRUE
Helles,n,n,##Erst dann,::::Auch 43. Aufl. ist wie Peter schon geschrieben hat: Sin|g|le (IPA übrigens [ˈsɪŋɡl] !?),Substantiv,TRUE
Helles,n,n,### --[[Benutzer:Betterknower|Betterknower]] &lt;small&gt;([[User talk:Betterknower|Diskussion]])&lt;/small&gt; 23:07,::::Auch 43. Aufl. ist wie Peter schon geschrieben hat: Sin|g|le (IPA übrigens [ˈsɪŋɡl] !?),Substantiv,TRUE
Heptagon,y,n,Hep·ta·gon,hɛptaˈɡoːn,Substantiv,TRUE
Heptagon,n,n,<model>wikitext</model>,<comment>Worttrennung; IPA</comment>,Substantiv,TRUE
Heroin,y,n,He·ro·in,heʁoˈiːn,Substantiv,TRUE
Heroin,n,f,He·ro·in,heʁoˈiːn,Substantiv,TRUE
Heroin,n,f,He·ro·in,heˈʁoːɪn,Substantiv,TRUE
Hippocampus,y,m,Hip·po·cam·pus,hɪpoˈkampʊs,Substantiv,TRUE
Hippocampus,n,m,Hip·po·kam·pus,hɪpoˈkampʊs,Substantiv,TRUE
Hochzeit,y,f,Hoch·zeit,ˈhɔxˌt͡saɪ̯t,Substantiv,TRUE
Hochzeit,n,f,Hoch·zeit,ˈhoːxˌt͡saɪ̯t,Substantiv,TRUE
